wo_id,asset_id,technician_id,wo_type,priority,status,description,created_at,started_at,completed_at,downtime_hours,failure_code
WO-00001,AST-0010,TECH-0014,Corrective,Low,Completed,Engine vibration fix,2023-03-26 12:00:00,2023-03-26 12:30:58,2023-04-01 18:51:26,94.43,ELE-001
WO-00002,AST-0024,,Preventive,High,Open,Filter replacement,2023-10-05 06:00:00,,,,
WO-00003,AST-0003,TECH-0008,Preventive,Medium,Completed,Torque check,2023-09-29 08:00:00,2023-09-29 08:55:35,2023-10-01 21:17:56,3.31,
WO-00004,AST-0014,TECH-0019,Preventive,Low,In Progress,Filter replacement,2023-11-01 06:00:00,2023-11-01 11:08:43,,,
WO-00005,AST-0025,TECH-0003,Emergency,High,Completed,AOG engine fault,2023-05-03 10:00:00,2023-05-03 13:28:06,2023-05-03 23:40:06,2.58,AVN-001
WO-00006,AST-0017,,Corrective,Medium,Open,Landing gear snag,2023-10-03 09:00:00,,,,ELE-001
WO-00007,AST-0026,TECH-0017,Emergency,Low,Completed,AOG engine fault,2023-07-09 10:00:00,2023-07-09 11:40:59,2023-07-23 20:58:30,168.97,
WO-00008,AST-0020,TECH-0007,Inspection,High,Completed,NDT check,2023-03-10 10:00:00,2023-03-10 11:21:56,2023-03-11 02:07:25,3.22,
WO-00009,AST-0009,TECH-0002,Preventive,Medium,Completed,Scheduled 500-hr inspection,2023-09-08 10:00:00,2023-09-08 17:17:24,2023-09-12 03:15:29,27.78,
WO-00010,AST-0023,TECH-0014,Preventive,High,Cancelled,Scheduled 500-hr inspection,2023-03-24 17:00:00,2023-03-24 20:48:49,,,
WO-00011,AST-0002,TECH-0010,Preventive,Low,Completed,Filter replacement,2023-03-18 14:00:00,2023-03-18 14:46:12,2023-03-22 21:59:18,35.49,
WO-00012,AST-0028,TECH-0014,Inspection,Low,Completed,Borescope inspection,2023-07-03 09:00:00,2023-07-03 14:36:55,2023-07-06 20:46:44,35.01,
WO-00013,AST-0006,TECH-0011,Emergency,High,In Progress,Fire warning system fault,2023-04-01 20:00:00,2023-04-01 23:35:31,,,
WO-00014,AST-0013,TECH-0002,Corrective,Medium,In Progress,Engine vibration fix,2023-03-23 18:00:00,2023-03-23 23:45:34,,,ELE-002
WO-00015,AST-0025,TECH-0009,Preventive,Low,Completed,Filter replacement,2023-04-27 09:00:00,2023-04-27 09:40:38,2023-04-30 12:38:18,51.83,
WO-00016,AST-0004,TECH-0009,Corrective,Medium,Cancelled,Electrical fault trace,2023-10-02 11:00:00,2023-10-02 18:32:39,,,STR-002
WO-00017,AST-0011,TECH-0014,Emergency,High,In Progress,AOG engine fault,2023-08-11 11:00:00,2023-08-11 16:57:50,,,MEC-002
WO-00018,AST-0017,,Inspection,High,Open,Borescope inspection,2023-08-12 06:00:00,,,,
WO-00019,AST-0010,TECH-0014,Corrective,Critical,Completed,Landing gear snag,2023-06-19 15:00:00,2023-06-19 17:51:15,2023-06-20 02:10:22,2.0,MEC-002
WO-00020,AST-0029,TECH-0006,Corrective,Medium,In Progress,Landing gear snag,2023-12-07 12:00:00,2023-12-07 17:34:47,,,MEC-002
WO-00021,AST-0007,TECH-0017,Corrective,Critical,Completed,Engine vibration fix,2023-08-09 18:00:00,2023-08-09 22:50:59,2023-08-10 01:02:41,0.78,
WO-00022,AST-0021,TECH-0020,Emergency,Low,In Progress,Critical avionics failure,2023-02-13 10:00:00,2023-02-13 14:21:57,,,HYD-002
WO-00023,AST-0028,TECH-0003,Inspection,Low,Completed,Annual compliance check,2023-04-26 18:00:00,2023-04-26 19:59:36,2023-04-29 12:26:37,24.5,
WO-00024,AST-0008,TECH-0005,Corrective,Medium,In Progress,Hydraulic leak repair,2023-12-23 12:00:00,2023-12-23 16:12:28,,,
WO-00025,AST-0030,TECH-0004,Inspection,Low,Completed,Annual compliance check,2023-04-23 08:00:00,2023-04-23 14:31:50,2023-04-27 10:39:50,41.08,
WO-00026,AST-0029,TECH-0017,Preventive,Medium,Completed,Torque check,2023-10-14 15:00:00,2023-10-14 17:52:47,2023-10-19 17:40:39,78.11,
WO-00027,AST-0017,TECH-0016,Inspection,Medium,Completed,Borescope inspection,2023-09-01 13:00:00,2023-09-01 15:26:38,2023-09-03 16:16:39,29.92,
WO-00028,AST-0023,TECH-0005,Preventive,Critical,Completed,Lubrication service,2023-05-20 11:00:00,2023-05-20 13:53:52,2023-05-20 15:06:46,0.22,
WO-00029,AST-0023,TECH-0001,Preventive,Medium,Completed,Torque check,2023-08-01 06:00:00,2023-08-01 08:03:04,2023-08-03 23:18:45,29.56,
WO-00030,AST-0026,TECH-0020,Corrective,Low,Completed,Electrical fault trace,2023-07-19 19:00:00,2023-07-20 02:11:14,2023-08-01 17:49:08,178.45,AVN-001
WO-00031,AST-0022,,Preventive,Medium,Open,Torque check,2023-06-22 16:00:00,,,,
WO-00032,AST-0021,TECH-0014,Inspection,Low,Completed,Borescope inspection,2023-11-15 14:00:00,2023-11-15 14:42:08,2023-11-19 23:24:56,2.27,
WO-00033,AST-0027,TECH-0014,Inspection,High,Completed,NDT check,2023-06-17 09:00:00,2023-06-17 12:54:36,2023-06-18 09:32:37,4.59,
WO-00034,AST-0001,TECH-0008,Inspection,Medium,Completed,Borescope inspection,2023-01-27 11:00:00,2023-01-27 13:10:53,2023-01-30 07:16:30,2.13,
WO-00035,AST-0007,TECH-0015,Inspection,Medium,In Progress,NDT check,2023-08-31 16:00:00,2023-08-31 17:21:28,,,
WO-00036,AST-0010,TECH-0019,Inspection,High,Completed,Annual compliance check,2023-02-28 18:00:00,2023-03-01 00:38:41,2023-03-02 04:32:10,0.57,
WO-00037,AST-0021,,Corrective,Medium,Open,Electrical fault trace,2023-12-20 19:00:00,,,,HYD-002
WO-00038,AST-0012,TECH-0003,Corrective,High,Completed,Landing gear snag,2023-03-03 18:00:00,2023-03-04 01:52:43,2023-03-05 14:22:41,12.51,HYD-001
WO-00039,AST-0015,TECH-0005,Inspection,Low,In Progress,Annual compliance check,2023-07-05 16:00:00,2023-07-05 23:11:12,,,
WO-00040,AST-0019,TECH-0009,Preventive,Medium,Completed,Filter replacement,2023-11-12 18:00:00,2023-11-13 01:23:49,2023-11-18 03:36:12,80.73,
WO-00041,AST-0025,,Inspection,Low,Open,Annual compliance check,2023-08-19 09:00:00,,,,
WO-00042,AST-0009,TECH-0020,Corrective,Medium,Completed,Landing gear snag,2023-09-11 19:00:00,2023-09-11 21:56:15,2023-09-13 07:29:53,6.94,STR-001
WO-00043,AST-0018,,Preventive,Low,Open,Lubrication service,2023-07-28 13:00:00,,,,
WO-00044,AST-0012,TECH-0016,Corrective,Medium,Completed,Landing gear snag,2023-01-09 07:00:00,2023-01-09 09:42:24,2023-01-10 13:14:42,14.63,MEC-002
WO-00045,AST-0024,TECH-0018,Emergency,Medium,Completed,Emergency hydraulic failure,2023-08-21 10:00:00,2023-08-21 12:47:58,2023-08-23 18:08:56,13.47,ELE-002
WO-00046,AST-0006,TECH-0010,Preventive,Medium,Completed,Scheduled 500-hr inspection,2023-09-26 15:00:00,2023-09-26 17:37:20,2023-09-27 18:30:17,4.53,
WO-00047,AST-0010,,Inspection,High,Open,Borescope inspection,2023-01-28 14:00:00,,,,
WO-00048,AST-0016,TECH-0015,Corrective,Low,In Progress,Landing gear snag,2023-01-07 15:00:00,2023-01-07 17:37:57,,,ELE-001
WO-00049,AST-0005,TECH-0005,Emergency,High,Completed,Critical avionics failure,2023-02-28 19:00:00,2023-02-28 19:59:24,2023-03-01 11:10:35,8.34,HYD-002
WO-00050,AST-0015,TECH-0010,Emergency,High,Completed,Fire warning system fault,2023-11-07 15:00:00,2023-11-07 21:25:50,2023-11-08 11:38:12,5.12,ELE-003
WO-00051,AST-0007,TECH-0009,Corrective,Critical,Cancelled,Hydraulic leak repair,2023-02-20 18:00:00,2023-02-20 20:03:30,,,ELE-001
WO-00052,AST-0016,TECH-0010,Preventive,Medium,In Progress,Scheduled 500-hr inspection,2023-07-29 13:00:00,2023-07-29 18:40:13,,,
WO-00053,AST-0022,TECH-0007,Preventive,Medium,Completed,Torque check,2023-08-21 07:00:00,2023-08-21 12:39:19,2023-08-28 01:44:26,78.55,
WO-00054,AST-0002,TECH-0006,Preventive,High,In Progress,Filter replacement,2023-05-17 19:00:00,2023-05-17 20:34:00,,,
WO-00055,AST-0018,TECH-0016,Corrective,Low,Completed,Engine vibration fix,2023-08-13 07:00:00,2023-08-13 11:00:54,2023-08-16 23:19:52,18.36,HYD-002
WO-00056,AST-0019,TECH-0001,Corrective,Low,Completed,Landing gear snag,2023-11-06 10:00:00,2023-11-06 10:41:38,2023-11-11 09:15:20,81.62,STR-002
WO-00057,AST-0016,TECH-0003,Preventive,Low,Completed,Torque check,2023-11-30 13:00:00,2023-11-30 20:22:13,2023-12-05 07:43:19,54.52,
WO-00058,AST-0025,TECH-0018,Preventive,High,Completed,Scheduled 500-hr inspection,2023-03-24 11:00:00,2023-03-24 14:35:14,2023-03-25 07:18:49,5.36,
WO-00059,AST-0014,TECH-0002,Corrective,High,Completed,Electrical fault trace,2023-07-26 19:00:00,2023-07-26 23:21:34,2023-07-28 23:02:06,20.69,STR-001
WO-00060,AST-0016,TECH-0004,Corrective,Low,Completed,Hydraulic leak repair,2023-01-27 09:00:00,2023-01-27 11:30:10,2023-01-30 09:23:40,49.25,
WO-00061,AST-0003,TECH-0008,Corrective,High,In Progress,Hydraulic leak repair,2023-10-10 06:00:00,2023-10-10 10:38:30,,,AVN-001
WO-00062,AST-0014,TECH-0016,Emergency,Medium,In Progress,Fire warning system fault,2023-05-30 14:00:00,2023-05-30 19:47:26,,,ELE-002
WO-00063,AST-0005,TECH-0003,Corrective,High,In Progress,Landing gear snag,2023-11-03 14:00:00,2023-11-03 20:05:49,,,
WO-00064,AST-0022,TECH-0016,Inspection,Medium,Completed,Borescope inspection,2023-09-17 10:00:00,2023-09-17 16:39:14,2023-09-18 23:10:34,14.33,
WO-00065,AST-0019,TECH-0013,Corrective,Medium,Completed,Electrical fault trace,2023-10-06 12:00:00,2023-10-06 15:54:54,2023-10-07 16:30:08,13.72,
WO-00066,AST-0002,TECH-0005,Corrective,High,Completed,Landing gear snag,2023-07-15 12:00:00,2023-07-15 19:54:47,2023-07-17 19:23:08,5.78,HYD-002
WO-00067,AST-0016,TECH-0009,Inspection,Medium,Completed,NDT check,2023-08-22 06:00:00,2023-08-22 11:55:05,2023-08-24 13:40:35,6.14,
WO-00068,AST-0022,,Corrective,Medium,Open,Engine vibration fix,2023-06-18 19:00:00,,,,MEC-001
WO-00069,AST-0008,TECH-0003,Corrective,Low,Completed,Engine vibration fix,2023-10-05 06:00:00,2023-10-05 11:07:51,2023-10-10 10:57:55,27.55,HYD-002
WO-00070,AST-0001,TECH-0002,Inspection,Medium,In Progress,NDT check,2023-03-27 17:00:00,2023-03-27 19:44:45,,,
WO-00071,AST-0003,TECH-0020,Inspection,High,Completed,Annual compliance check,2023-03-16 09:00:00,2023-03-16 13:29:01,2023-03-17 08:32:56,2.59,
WO-00072,AST-0026,TECH-0015,Corrective,High,Completed,Landing gear snag,2023-03-15 09:00:00,2023-03-15 12:57:31,2023-03-15 22:21:16,0.07,
WO-00073,AST-0007,TECH-0013,Corrective,Critical,Completed,Engine vibration fix,2023-10-28 10:00:00,2023-10-28 15:17:31,2023-10-28 16:50:32,1.05,HYD-002
WO-00074,AST-0028,TECH-0002,Preventive,Medium,Completed,Torque check,2023-12-25 10:00:00,2023-12-25 10:39:52,2023-12-30 05:24:41,0.74,
WO-00075,AST-0025,TECH-0005,Inspection,Low,Completed,Pre-flight walkaround,2023-04-28 15:00:00,2023-04-28 21:30:52,2023-05-01 07:04:16,11.54,
WO-00076,AST-0024,TECH-0014,Emergency,Medium,Completed,Emergency hydraulic failure,2023-08-14 06:00:00,2023-08-14 10:50:48,2023-08-15 06:06:50,4.55,ELE-002
WO-00077,AST-0027,TECH-0006,Preventive,Medium,Cancelled,Filter replacement,2023-09-29 14:00:00,2023-09-29 21:21:04,,,
WO-00078,AST-0026,TECH-0004,Emergency,Low,Cancelled,Fire warning system fault,2023-06-01 17:00:00,2023-06-02 00:01:40,,,HYD-002
WO-00079,AST-0001,TECH-0009,Preventive,Low,Completed,Scheduled 500-hr inspection,2023-12-12 12:00:00,2023-12-12 19:45:16,2023-12-23 15:55:47,164.57,
WO-00080,AST-0001,TECH-0020,Corrective,Medium,Completed,Landing gear snag,2023-10-27 12:00:00,2023-10-27 18:40:05,2023-10-31 06:22:10,15.66,STR-002
WO-00081,AST-0016,TECH-0004,Preventive,Critical,Completed,Scheduled 500-hr inspection,2023-12-25 10:00:00,2023-12-25 15:22:09,2023-12-25 16:18:19,0.03,
WO-00082,AST-0024,TECH-0005,Preventive,Medium,Completed,Torque check,2023-07-09 16:00:00,2023-07-09 23:37:13,2023-07-11 19:11:26,20.47,
WO-00083,AST-0012,TECH-0004,Corrective,Low,Completed,Landing gear snag,2023-05-24 06:00:00,2023-05-24 11:40:37,2023-05-28 05:18:31,16.93,STR-001
WO-00084,AST-0004,,Emergency,Medium,Open,Fire warning system fault,2023-05-22 09:00:00,,,,HYD-002
WO-00085,AST-0003,TECH-0018,Corrective,Medium,Completed,Electrical fault trace,2023-01-11 06:00:00,2023-01-11 12:24:03,2023-01-12 09:36:03,9.58,STR-002
WO-00086,AST-0005,TECH-0018,Preventive,Low,Completed,Filter replacement,2023-03-17 18:00:00,2023-03-18 01:15:14,2023-03-23 23:00:47,16.41,
WO-00087,AST-0009,TECH-0002,Inspection,High,Completed,Borescope inspection,2023-03-09 06:00:00,2023-03-09 09:11:12,2023-03-11 06:23:07,0.57,
